"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"Achievement_Desc_AscensionTier1","Achievement_Desc_AscensionTier1","Win a run at Covenant 5.","Achievement_Desc_AscensionTier1","","","",""
"Achievement_Desc_AscensionTier2","Achievement_Desc_AscensionTier2","Win a run at Covenant 10.","Achievement_Desc_AscensionTier2","","","",""
"Achievement_Desc_AscensionTier3","Achievement_Desc_AscensionTier3","Win a run at Covenant 15.","Achievement_Desc_AscensionTier3","","","",""
"Achievement_Desc_AscensionTier4","Achievement_Desc_AscensionTier4","Win a run at Covenant 25.","Achievement_Desc_AscensionTier4","","","",""
"Achievement_Desc_BeatLevel1Boss","Achievement_Desc_BeatLevel1Boss","Defeat the first boss.","Achievement_Desc_BeatLevel1Boss","","","",""
"Achievement_Desc_BeatLevel6Boss","Achievement_Desc_BeatLevel6Boss","Defeat Fel.","Achievement_Desc_BeatLevel6Boss","","","",""
"Achievement_Desc_BeatLevel8Boss","Achievement_Desc_BeatLevel8Boss","Defeat Seraph.","Achievement_Desc_BeatLevel8Boss","","","",""
"Achievement_Desc_BotherShopkeeper","Achievement_Desc_BotherShopkeeper","Bother the shopkeeper.","Achievement_Desc_BotherShopkeeper","","","",""
"Achievement_Desc_Class1Level10","Achievement_Desc_Class1Level10","Reach Level 10 on The Hellhorned.","Achievement_Desc_Class1Level10","","","",""
"Achievement_Desc_Class1Level5","Achievement_Desc_Class1Level5","Reach Level 5 on The Hellhorned.","Achievement_Desc_Class1Level5","","","",""
"Achievement_Desc_Class1WinAllCovenants","Achievement_Desc_Class1WinAllCovenants","Win a run with all covenants enabled on The Hellhorned.","Achievement_Desc_Class1WinAllCovenants","","","",""
"Achievement_Desc_Class2Level10","Achievement_Desc_Class2Level10","Reach Level 10 on The Awoken.","Achievement_Desc_Class2Level10","","","",""
"Achievement_Desc_Class2Level5","Achievement_Desc_Class2Level5","Reach Level 5 on The Awoken.","Achievement_Desc_Class2Level5","","","",""
"Achievement_Desc_Class2WinAllCovenants","Achievement_Desc_Class2WinAllCovenants","Win a run with all covenants enabled on The Awoken.","Achievement_Desc_Class2WinAllCovenants","","","",""
