"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"Achievement_Desc_AscensionTier1","Achievement_Desc_AscensionTier1","맹약 5단계 승리.","","False","","",""
"Achievement_Desc_AscensionTier2","Achievement_Desc_AscensionTier2","맹약 10단계 승리.","","False","","",""
"Achievement_Desc_AscensionTier3","Achievement_Desc_AscensionTier3","맹약 15단계 승리.","","False","","",""
"Achievement_Desc_AscensionTier4","Achievement_Desc_AscensionTier4","맹약 25단계 승리.","","False","","",""
"Achievement_Desc_BeatLevel1Boss","Achievement_Desc_BeatLevel1Boss","첫번째 우두머리를 처치.","","False","","",""
"Achievement_Desc_BeatLevel6Boss","Achievement_Desc_BeatLevel6Boss","펠 처치.","","False","","",""
"Achievement_Desc_BeatLevel8Boss","Achievement_Desc_BeatLevel8Boss","세라프 처치.","","False","","",""
"Achievement_Desc_BotherShopkeeper","Achievement_Desc_BotherShopkeeper","상점주인을 귀찮게 함.","","False","","",""
"Achievement_Desc_Class1Level10","Achievement_Desc_Class1Level10","지옥뿔 부족의 레벨 10 달성.","","False","","",""
"Achievement_Desc_Class1Level5","Achievement_Desc_Class1Level5","지옥뿔 부족의 레벨 5 달성.","","False","","",""
"Achievement_Desc_Class1WinAllCovenants","Achievement_Desc_Class1WinAllCovenants","지옥뿔 부족으로 맹약 최종 단계 승리.","","False","","",""
"Achievement_Desc_Class2Level10","Achievement_Desc_Class2Level10","깨어난 자들의 레벨 10 달성.","","False","","",""
"Achievement_Desc_Class2Level5","Achievement_Desc_Class2Level5","깨어난 자들의 레벨 5 달성.","","False","","",""
"Achievement_Desc_Class2WinAllCovenants","Achievement_Desc_Class2WinAllCovenants","깨어난 자들로 맹약 최종 단계 승리.","","False","","",""
"Achievement_Desc_Class3Level10","Achievement_Desc_Class3Level10","녹아내린 잔재의 레벨 10 달성.","","False","","",""
"Achievement_Desc_Class3Level5","Achievement_Desc_Class3Level5","녹아내린 잔재의 레벨 5 달성.","","False","","",""
"Achievement_Desc_Class3Unlock","Achievement_Desc_Class3Unlock","녹아내린 잔재 해금.","","False","","",""
"Achievement_Desc_Class3WinAllCovenants","Achievement_Desc_Class3WinAllCovenants","녹아내린 잔재로 맹약 최종 단계 승리.","","False","","",""
"Achievement_Desc_Class4Level10","Achievement_Desc_Class4Level10","칠흑의 수호자의 레벨 10 달성.","","False","","",""
"Achievement_Desc_Class4Level5","Achievement_Desc_Class4Level5","칠흑의 수호자의 레벨 5 달성.","","False","","",""
"Achievement_Desc_Class4Unlock","Achievement_Desc_Class4Unlock","칠흑의 수호자 해금.","","False","","",""
"Achievement_Desc_Class4WinAllCovenants","Achievement_Desc_Class4WinAllCovenants","칠흑의 수호자로 맹약 최종 단계 승리.","","False","","",""
"Achievement_Desc_Class5Level10","Achievement_Desc_Class5Level10","움브라의 레벨 10 달성.","","False","","",""
"Achievement_Desc_Class5Level5","Achievement_Desc_Class5Level5","움브라의 레벨 5 달성.","","False","","",""
"Achievement_Desc_Class5Unlock","Achievement_Desc_Class5Unlock","움브라 해금.","","False","","",""
"Achievement_Desc_Class5WinAllCovenants","Achievement_Desc_Class5WinAllCovenants","움브라로 맹약 최종 단계 승리.","","False","","",""
"Achievement_Desc_DailyChallengeScoreTier1","Achievement_Desc_DailyChallengeScoreTier1","일일 도전에서 30,000 점 이상 획득.","","False","","",""
"Achievement_Desc_DailyChallengeScoreTier2","Achievement_Desc_DailyChallengeScoreTier2","일일 도전에서 40,000 점 이상 획득.","","False","","",""
